Source IP,Destination IP,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,RST Flag Count,Label
192.168.1.15,192.168.1.21,ICMP,651094.8601037168,11,16,884.293017273724,1624.6342843873354,129.17689881939023,134.97542566713207,1643.9873902014158,22.140039916408334,0,12,0,BENIGN
192.168.1.7,192.168.1.12,ICMP,402631.53175426135,13,15,823.1688750935305,1668.2944976531064,109.21380248307469,119.92537044812656,2488.9176803221644,18.76196471390023,1,11,0,BENIGN
192.168.1.43,192.168.1.11,TCP,495375.12288737233,11,20,766.4024747994872,846.9818145343746,114.7208289496514,128.58529685983206,3533.916408838098,24.40711102541853,1,7,0,BENIGN
192.168.1.56,192.168.1.24,ICMP,484282.0019528284,10,11,1754.398765205188,2222.582928495256,95.90617638936436,171.6911869530547,3349.5683219374364,25.562872313230905,1,10,1,BENIGN
192.168.1.14,192.168.1.24,UDP,547753.88398621,9,11,668.5028476224697,2195.940048641558,100.66074270903027,99.99175022849528,2076.013026578155,31.24841938668309,2,13,0,BENIGN
192.168.1.37,192.168.1.6,TCP,463371.9621347497,17,13,1194.4375264034845,1491.0396222906522,104.47660927784503,115.06730175498268,2857.39595016999,26.776991039892003,1,7,0,BENIGN
192.168.1.10,192.168.1.26,UDP,700427.9150018257,12,14,1413.2560246075213,1317.8664618866237,68.76005770258882,139.69360773904725,776.0014493016615,15.338697576239534,1,8,0,BENIGN
192.168.1.17,192.168.1.17,UDP,359640.0201223473,18,11,785.831288633896,1846.5659507103328,58.30658589904892,116.31346434663918,2824.9220290420653,29.143956205744004,0,13,0,BENIGN
192.168.1.11,192.168.1.51,TCP,505205.9100713184,14,11,1331.9289139398845,1943.215618836605,109.06562096404014,160.56888991051096,5337.698302139216,1.0,1,16,0,BENIGN
192.168.1.58,192.168.1.12,ICMP,564183.5661042376,11,15,888.3878281275452,2224.394513019163,81.43568863570363,167.60089256893795,3226.216036378524,31.15652083446689,2,9,0,BENIGN
192.168.1.49,192.168.1.45,UDP,558724.405602216,17,15,953.945979296696,1891.3360246942948,36.46042689195313,197.5409036116045,3019.174867023586,1.0,0,7,1,BENIGN
192.168.1.9,192.168.1.40,UDP,644353.3567001546,9,11,1399.6837246308107,1909.5813888994353,110.43871317662953,157.15429758161002,3452.289139112904,7.8796355490506045,1,7,0,BENIGN
192.168.1.19,192.168.1.50,TCP,407102.40130652033,8,14,1119.6871982051453,1951.5959687270743,80.95372284992031,48.656987946387474,4155.694363280576,21.28889392871578,1,9,0,BENIGN
192.168.1.57,192.168.1.51,UDP,590165.591603002,14,11,1186.80351279513,1778.9779249535832,81.39271768427217,128.95428960504034,2737.414501253677,18.976678315394377,1,7,0,BENIGN
